Date,Apple,Microsoft,Intel,IBM,Facebook,Google
2015-12-31,105.260002,55.48,34.450001,137.619995,104.660004,758.880005
2016-01-04,105.349998,54.799999,33.990002,135.949997,102.220001,741.840027
2016-01-05,102.709999,55.049999,33.830002,135.850006,102.730003,742.580017
2016-01-06,100.699997,54.049999,33.080002,135.169998,102.970001,743.619995
2016-01-07,96.449997,52.169998,31.84,132.860001,97.919998,726.390015
2016-01-08,96.959999,52.330002,31.51,131.630005,97.330002,714.469971
2016-01-11,98.529999,52.299999,32.060001,133.229996,97.510002,716.030029
2016-01-12,99.959999,52.779999,32.68,132.899994,99.370003,726.070007
2016-01-13,97.389999,51.639999,31.91,131.169998,95.440002,700.559998
2016-01-14,99.519997,53.110001,32.740002,132.910004,98.370003,714.719971
2016-01-15,97.129997,50.990002,29.76,130.029999,94.970001,694.450012
2016-01-19,96.660004,50.560001,29.799999,128.110001,95.260002,701.789978
2016-01-20,96.790001,50.790001,29.59,121.860001,94.349998,698.450012
2016-01-21,96.300003,50.48,29.66,122.910004,94.160004,706.590027
2016-01-22,101.419998,52.290001,29.93,122.5,97.940002,725.25
2016-01-25,99.440002,51.790001,29.6,122.080002,97.010002,711.669983
2016-01-26,99.989998,52.169998,29.940001,122.589996,97.339996,713.039978
2016-01-27,93.419998,51.220001,29.809999,120.959999,94.449997,699.98999
2016-01-28,94.089996,52.060001,29.969999,122.220001,109.110001,730.960022
2016-01-29,97.339996,55.09,31.02,124.790001,112.209999,742.950012
2016-02-01,96.43,54.709999,30.82,124.830002,115.089996,752
2016-02-02,94.480003,53,29.799999,122.940002,114.610001,764.650024
2016-02-03,96.349998,52.16,29.34,124.720001,112.690002,726.950012
2016-02-04,96.599998,52,29.77,127.650002,110.489998,708.01001
2016-02-05,94.019997,50.16,29.040001,128.570007,104.07,683.570007
2016-02-08,95.010002,49.41,28.82,126.980003,99.75,682.73999
2016-02-09,94.989998,49.279999,28.809999,124.07,99.540001,678.109985
2016-02-10,94.269997,49.709999,28.23,120.190002,101,684.119995
2016-02-11,93.699997,49.689999,28.219999,117.849998,101.910004,683.109985
2016-02-12,93.989998,50.5,28.639999,121.040001,102.010002,682.400024
2016-02-16,96.639999,51.09,28.780001,122.739998,101.610001,691
2016-02-17,98.120003,52.419998,29.469999,126.099998,105.199997,708.400024
2016-02-18,96.260002,52.189999,29.42,132.449997,103.470001,697.349976
2016-02-19,96.040001,51.82,28.709999,133.080002,104.57,700.909973
2016-02-22,96.879997,52.650002,29.35,133.770004,107.160004,706.460022
2016-02-23,94.690002,51.18,28.799999,132.399994,105.459999,695.849976
2016-02-24,96.099998,51.360001,29.190001,132.800003,106.879997,699.559998
2016-02-25,96.760002,52.099998,29.620001,134.5,108.07,705.75
2016-02-26,96.910004,51.299999,29.799999,132.029999,107.919998,705.070007
2016-02-29,96.690002,50.880001,29.59,131.029999,106.919998,697.77002
2016-03-01,100.529999,52.580002,30.370001,134.369995,109.82,718.809998
2016-03-02,100.75,52.950001,30.540001,136.300003,109.949997,718.849976
2016-03-03,101.5,52.349998,30.58,137.800003,109.580002,712.419983
2016-03-04,103.010002,52.029999,30.629999,137.800003,108.389999,710.890015
2016-03-07,101.870003,51.029999,30.940001,140.149994,105.730003,695.159973
2016-03-08,101.029999,51.650002,30.559999,139.070007,105.93,693.969971
2016-03-09,101.120003,52.84,30.870001,140.410004,107.510002,705.23999
2016-03-10,101.169998,52.049999,31.25,140.190002,107.32,712.820007
2016-03-11,102.260002,53.07,31.76,142.360001,109.410004,726.820007
2016-03-14,102.519997,53.169998,31.43,142.779999,109.889999,730.48999
2016-03-15,104.580002,53.59,31.65,142.960007,110.669998,728.330017
2016-03-16,105.970001,54.349998,31.690001,144.789993,112.18,736.090027
2016-03-17,105.800003,54.66,31.98,147.039993,111.019997,737.780029
2016-03-18,105.919998,53.490002,32.68,147.089996,111.449997,737.599976
2016-03-21,105.910004,53.860001,32.34,148.630005,111.849998,742.090027
2016-03-22,106.720001,54.07,32.32,148.100006,112.25,740.75
2016-03-23,106.129997,53.970001,32,145.399994,112.540001,738.059998
2016-03-24,105.669998,54.209999,31.879999,147.949997,113.050003,735.299988
2016-03-28,105.190002,53.540001,31.9,148.399994,113.690002,733.530029
2016-03-29,107.68,54.709999,32.380001,149.330002,116.139999,744.77002
2016-03-30,109.559998,55.049999,32.709999,148.410004,114.699997,750.530029
2016-03-31,108.989998,55.23,32.349998,151.449997,114.099998,744.950012
2016-04-01,109.989998,55.57,32.450001,152.520004,116.059998,749.909973
2016-04-04,111.120003,55.43,32,152.070007,112.550003,745.289978
2016-04-05,109.809998,54.560001,31.9,150,112.220001,737.799988
2016-04-06,110.959999,55.119999,32.080002,150.020004,113.709999,745.690002
2016-04-07,108.540001,54.459999,31.549999,148.25,113.639999,740.280029
2016-04-08,108.660004,54.419998,31.629999,149.350006,110.629997,739.150024
2016-04-11,109.019997,54.310001,31.67,149.25,108.989998,736.099976
2016-04-12,110.440002,54.650002,31.860001,149.630005,110.610001,743.090027
2016-04-13,112.040001,55.349998,32.130001,151.229996,110.510002,751.719971
2016-04-14,112.099998,55.360001,31.799999,151.160004,110.839996,753.200012
2016-04-15,109.849998,55.650002,31.459999,151.720001,109.639999,759
2016-04-18,107.480003,56.459999,31.65,152.529999,110.449997,766.609985
2016-04-19,106.910004,56.389999,31.6,144,112.290001,753.929993
2016-04-20,107.129997,55.59,32,146.110001,112.419998,752.669983
2016-04-21,105.970001,55.779999,31.969999,149.300003,113.440002,759.140015
2016-04-22,105.68,51.779999,31.639999,148.5,110.559998,718.77002
2016-04-25,105.080002,52.110001,31.389999,148.809998,110.099998,723.150024
2016-04-26,104.349998,51.439999,31.4,149.080002,108.760002,708.140015
2016-04-27,97.82,50.939999,31.75,150.470001,108.889999,705.840027
2016-04-28,94.830002,49.900002,31.110001,147.070007,116.730003,691.02002
2016-04-29,93.739998,49.869999,30.280001,145.940002,117.580002,693.01001
2016-05-02,93.639999,50.610001,30.610001,145.270004,118.57,698.210022
2016-05-03,95.18,49.779999,30.360001,144.130005,117.43,692.359985
2016-05-04,94.190002,49.869999,29.85,144.25,118.059998,695.700012
2016-05-05,93.239998,49.939999,29.9,146.470001,117.809998,701.429993
2016-05-06,92.720001,50.389999,30.040001,147.289993,119.489998,711.119995
2016-05-09,92.790001,50.07,29.799999,147.339996,119.239998,712.900024
2016-05-10,93.419998,51.02,30.139999,149.970001,120.5,723.179993
2016-05-11,92.510002,51.049999,30.059999,148.949997,119.519997,715.289978
2016-05-12,90.339996,51.509998,29.76,148.839996,120.279999,713.309998
2016-05-13,90.519997,51.080002,29.91,147.720001,119.809998,710.830017
2016-05-16,93.879997,51.830002,30.389999,149.460007,118.669998,716.48999
2016-05-17,93.489998,50.509998,29.98,148,117.349998,706.22998
2016-05-18,94.559998,50.810001,29.99,147.339996,117.650002,706.630005
2016-05-19,94.199997,50.32,29.629999,144.929993,116.809998,700.320007
2016-05-20,95.220001,50.619999,30.15,147.25,117.349998,709.73999
2016-05-23,96.43,50.029999,30.23,146.770004,115.970001,704.23999
2016-05-24,97.900002,51.59,31.059999,148.309998,117.699997,720.090027
2016-05-25,99.620003,52.119999,31.389999,151.690002,117.889999,725.27002
2016-05-26,100.410004,51.889999,31.49,152.440002,119.470001,724.119995
2016-05-27,100.349998,52.32,31.57,152.839996,119.379997,732.659973
2016-05-31,99.860001,53,31.59,153.740005,118.809998,735.719971
2016-06-01,98.459999,52.849998,31.66,152.509995,118.779999,734.150024
2016-06-02,97.720001,52.48,31.76,153.5,118.93,730.400024
2016-06-03,97.919998,51.790001,31.620001,152.889999,118.470001,722.340027
2016-06-06,98.629997,52.130001,31.68,152.729996,118.790001,716.549988
2016-06-07,99.029999,52.099998,31.879999,153.330002,117.760002,716.650024
